n1,n2,lpt,mx
2.575551917,2.537611683,1.750774794,no
2.612894973,2.093581969,2.724922823,no
2.282858377,2.402350139,1.640929132,no
2.230936541,2.433754442,2.17082368,no
2.366230691,2.273261371,2.588330794,no
2.412555115,2.762871562,2.940655549,no
1.731990242,2.50867124,1.777971681,no
2.039135642,2.12654109,1.9888201,no
2.268220932,1.878298388,1.85591134,no
2.421490516,2.748171214,2.362321273,no
2.557452989,1.60341664,2.229529727,no
1.884261064,2.137381877,1.770192762,no
1.941669398,2.448943612,2.288294895,no
2.497217232,2.57741239,2.162875126,no
2.130742184,2.345982121,2.183638641,no
2.604042701,2.74253774,1.64758224,no
2.351769031,2.24828298,2.277473342,no
2.018075897,2.249073373,2.116217015,no
2.66150214,2.06651511,2.183244248,no
3.405306518,2.141583409,2.551583037,no
2.472300017,2.691792864,1.962207675,no
2.161558906,1.873668607,2.457211062,no
2.613584551,1.870333075,2.375256143,no
2.940165234,1.977346495,2.035511899,no
1.899382988,2.395868958,3.191401795,no
2.547510456,2.604539875,2.071081472,no
3.072349201,1.502076595,2.259846204,no
2.737123218,2.944935906,2.192051306,no
1.382576689,2.528713174,2.897403146,no
2.606407449,2.419815885,2.128055884,no
2.039799253,2.598070745,2.697724496,no
1.651802065,1.969506721,2.799966543,no
1.855957104,2.857466512,2.881061845,no
1.922896246,2.820646775,2.33494368,no
2.398019824,1.490952428,2.26987013,no
1.788009736,2.371137479,2.417466244,no
2.591308453,2.507906052,1.72302695,no
1.894047463,2.093159327,2.298724892,no
2.550817224,2.647279316,1.902489312,no
2.620559526,2.367942243,2.434044546,no
2.760020063,2.686658834,2.654419997,no
2.322299989,2.866255485,2.634301222,no
1.818731246,2.493280778,1.895802853,no
1.800607008,2.485776894,2.533218932,no
2.229127788,1.490284627,1.762804972,no
1.959955371,1.049442691,2.809378533,no
1.615683964,1.326117271,2.521633286,no
1.906904232,2.460639519,2.619629532,no
2.46220265,2.935967741,2.531934975,no
3.083697356,1.916791702,2.721192029,no
2.080750323,2.287738922,2.704044598,no
2.486653083,2.124466836,2.25632326,no
2.493030363,1.731007301,2.786066716,no
2.116419148,2.072587348,2.008839123,no
2.796094641,1.668877554,2.140683298,no
2.861776423,1.521989253,1.493641297,no
1.529905856,2.516502515,2.280349981,no
3.16916059,2.404445631,2.14220098,no
2.97903528,2.968669078,2.16243805,no
1.261857989,1.742381051,2.086340597,no
2.303442053,2.518557205,2.262210435,no
2.289460024,2.597715646,2.415523733,no
2.489315422,2.177749834,1.703493446,no
2.888906799,2.486808456,1.818435548,no
2.963676926,1.926841572,1.759829999,no
2.139072185,1.588971351,2.320009359,no
2.331376968,2.546406713,1.971085115,no
1.999753698,2.121178463,2.089852832,no
1.68925126,2.424526181,1.889765192,no
1.863006652,1.475091441,2.553056448,no
2.86535255,2.76704284,2.373320281,no
1.145215412,2.576913688,2.309196941,no
1.96492951,2.103399808,2.875171606,no
2.311556783,1.830743428,1.823544307,no
2.455663672,1.756184018,2.306874634,no
2.02331711,2.45200147,1.940452799,no
2.108376458,2.743632168,2.765452213,no
1.966094922,2.636997716,3.132379209,no
2.382481867,2.429069999,1.357813537,no
2.065256255,2.089397343,2.646453632,no
2.138228619,1.607362634,1.86436584,no
1.504500572,2.547237305,2.433286612,no
2.409209908,3.101209573,2.660226694,no
1.502354748,1.371491469,2.940229495,no
2.560603922,2.244476798,2.461157634,no
1.982173472,2.824504531,1.759109747,no
2.481325877,2.439674002,2.146029886,no
2.992243055,3.370842382,2.421231694,no
2.669633133,2.143946932,2.231948671,no
2.663779283,2.821983841,1.987700337,no
1.828773433,2.313469651,1.222104741,no
2.132928757,2.411017649,1.925896993,no
2.132065463,1.334329992,2.556888112,no
2.986764751,2.384545572,2.278984255,no
2.447677015,2.165321439,2.505738015,no
2.046823329,2.723882327,2.716968134,no
2.682433558,2.663660055,2.119703395,no
2.317420648,1.664884548,2.154904371,no
2.568135431,2.633967929,2.219344812,no
2.021534654,1.839050078,2.062798745,no
2.034612334,2.211319116,2.526212306,no
2.42574967,2.423098366,2.20664967,no
2.035430979,2.340087592,2.459867931,no
2.115801391,2.506106606,2.069191232,no
2.005379839,2.772145115,2.734547464,no
1.387324881,2.676411328,1.906160096,no
2.094236093,1.643692223,2.162730078,no
2.107269794,2.192217567,2.37975064,no
2.660843247,1.217902861,2.14917735,no
2.509823965,2.080213671,2.654307908,no
2.715798841,1.661653859,2.091661623,no
2.834609751,2.110573538,2.570148577,no
2.401074621,2.064106075,1.21456434,no
1.956482181,1.730635307,2.681281832,no
3.135897966,2.376763209,2.47622941,no
1.739219026,2.4975829,3.045411457,no
2.20628397,2.311518559,2.432559146,no
1.306070163,2.009700732,1.760207768,no
2.760024612,2.374551329,2.119140445,no
0.9983730565,2.480685172,2.48992202,no
2.954128731,2.503340557,2.045733205,no
2.386286495,1.487712827,1.610172778,no
1.762948675,2.029142266,2.647336688,no
2.131994951,1.688280367,2.222464949,no
2.71319443,2.212294277,1.602797887,no
2.930866619,2.391660142,2.296588758,no
2.044243716,2.68731729,1.94984803,no
2.248182136,2.035189982,2.373953505,no
2.493814968,1.629783889,1.474883948,no
1.978387443,1.722012443,2.414375975,no
2.365049376,1.975819639,2.379612698,no
1.721202438,2.038069017,1.996039073,no
2.52817203,2.560488215,2.649326328,no
2.194658746,2.421776588,2.219846263,no
1.713596305,2.838144986,2.581057024,no
2.154776218,1.838014482,2.862452718,no
2.628838894,2.245271783,2.044562081,no
2.068251775,2.121671977,2.809009617,no
2.543559392,2.315002406,2.124217552,no
2.033333699,2.824518737,2.654598727,no
1.693995023,2.303293648,2.293484969,no
1.960284336,2.417033502,2.219079722,no
1.853589313,2.44871087,2.258978175,no
2.410669153,2.246019976,3.715695995,no
2.627947743,2.082000852,1.580088617,no
2.285479947,2.399493293,2.458820676,no
2.224056667,2.655386744,1.779358025,no
2.318454921,1.896295346,1.986577833,no
2.353269951,2.257926807,2.72238096,no
2.655344005,2.129379855,2.407928616,no
2.631293405,2.461565167,2.199284138,no
1.760435416,2.028581806,2.656451147,no
2.287030847,1.270561623,3.31656714,no
2.238731983,1.968921001,2.838239124,no
2.1838702,1.987624514,2.678611777,no
2.155920079,2.366207856,2.568673891,no
2.162247901,2.012650061,2.476405082,no
2.089324984,1.537554681,2.030617963,no
2.572126409,1.915985629,2.219490352,no
2.040833106,2.153676265,1.923876007,no
2.038608474,2.380842211,2.288075414,no
2.700758361,1.737005552,2.119634154,no
2.788338496,2.387104676,2.903441777,no
2.215077715,1.866455987,2.221977261,no
1.860967683,2.63358931,2.333092816,no
2.339178645,1.851999083,2.205791877,no
1.714527651,2.034718102,1.357843053,no
2.457363349,2.389700978,1.183304698,no
1.666376095,2.257650804,2.727039388,no
2.500839056,1.77581028,2.299162287,no
1.895342941,2.159683514,2.632950344,no
1.655997299,1.755082516,2.062902289,no
1.917051632,2.659558977,1.919892408,no
1.905901521,3.253116239,2.851735605,no
2.334355357,2.125986686,2.615472703,no
2.605941712,2.472916736,2.453614494,no
1.876118959,2.605205056,2.38299306,no
2.018102123,2.035441788,1.740980094,no
1.602359946,2.823036075,1.915048741,no
3.117445722,2.393983741,2.054596309,no
1.622928553,1.327731142,1.941132379,no
2.125011894,1.859550117,1.652788308,no
2.360066885,2.278391633,2.340865396,no
2.428162584,2.440172006,2.086406759,no
2.09159292,2.488879946,1.53381304,no
2.811792189,2.533899988,2.533935373,no
2.250427359,2.161310421,2.046008955,no
1.858992818,2.320219218,2.583210724,no
2.052680155,2.891408479,2.089805811,no
2.402058976,2.472100396,2.615508491,no
2.340085861,2.175976894,2.936035281,no
1.960922777,2.493081857,1.84069603,no
2.727853377,2.127703304,1.929425339,no
2.655770018,2.680070489,2.665464929,no
2.619655528,2.449813653,2.369766301,no
2.607526829,3.253250142,2.417880842,no
2.778527826,2.075560761,2.535460198,no
2.731277122,1.730979291,2.477569987,no
1.9892877,2.356330126,2.05898108,no
1.718051986,2.670962961,2.4121686,no
2.704251683,2.382126669,2.244458884,no
2.436581106,2.327378486,2.128762072,no
2.722675539,2.002632404,2.383457536,no
2.359821747,1.77924964,2.233877394,no
2.70800629,2.147246346,2.310461231,no
2.095057123,2.085935967,1.726964784,no
2.518293895,2.000560871,2.521552555,no
1.949910185,2.68359537,1.983749017,no
1.469522121,2.453433839,3.170485465,no
